base,direccion,latitud,longitud,estado
VITARTE,Calle Tulipanes - Mz. A1 Lt. 09,-12.030648,-76.909114,PENDIENTE
VITARTE,Parque 3 - Mz. X Lt. 21,-12.039082,-76.92957,PENDIENTE
VITARTE,Mz. B Lt. 13,-12.033648,-76.910723,PENDIENTE
VITARTE,Parque 3 - Mz. X Lt. 21,-12.036381921158014,-76.93647216024837,PENDIENTE
VITARTE,Mz. B Lt. 13,-12.023490208358098,-76.92298284870813,PENDIENTE
VITARTE,Calle 20 de Agosto - Mz. M Lt. 09,-12.031692,-76.94335,PENDIENTE
VITARTE,Mz. A13 Lt. 11,-12.02454,-76.946847,PENDIENTE
VITARTE,Mz. B Lt. 14,-12.026052,-76.91154,PENDIENTE
VITARTE,Mz. K Lt. 01,-12.023783,-76.943414,PENDIENTE
VITARTE,Mz. J Lt. 32,-12.023562,-76.94204,PENDIENTE
VITARTE,Mz. G Lt. 35,-12.024319,-76.942222,PENDIENTE
VITARTE,Mz. E Lt. 06,-12.030687,-76.906173,PENDIENTE
VITARTE,Mz. A Lt. 02,-12.045948,-76.932349,PENDIENTE
VITARTE,Mz. D Lt. 26,-12.045948,-76.932349,PENDIENTE
VITARTE,N 1260,-12.027474419365069,-76.93249665722249,PENDIENTE
VITARTE,"Parque N 5, Calle Rio Santa - Mz. B Lt. 24",-12.033063,-76.934242,PENDIENTE
VITARTE,"Parque N 4, Calle Rio Rimac - Mz. H Lt. 17",-12.033063,-76.934242,PENDIENTE
VITARTE,Mz. J Lt. 01,-12.046982,-76.901308,PENDIENTE
VITARTE,Mz. S Lt. 02,-12.029007,-76.91501,PENDIENTE
VITARTE,Santa Rosita (I Etapa),-12.024887,-76.933941,PENDIENTE
VITARTE,Santa Rosita (II Etapa),-12.024915,-76.931328,PENDIENTE
VITARTE,Los Robles de Ate III,-12.024696,-76.927758,PENDIENTE
VITARTE,Alameda La Rivera,-12.024243,-76.944212,PENDIENTE
VITARTE,Asociacion Inmigrantes de Chinchos,-12.046309081514956,-76.9184443910131,PENDIENTE
VITARTE,Mz. C Lt. 09,-12.024537,-76.900966,PENDIENTE
VITARTE,Calle Los Cisnes N 398,-12.036514,-76.938581,PENDIENTE
VITARTE,Mz. C Lt. 8,-12.046602,-76.925335,PENDIENTE
VITARTE,Mz. L Lt. 1,-12.044252,-76.924975,PENDIENTE
VITARTE,Mz. L Lt. 18,-12.044488,-76.924706,PENDIENTE
VITARTE,Mz. L Lt. 12,-12.039244,-76.919245,PENDIENTE
VITARTE,Mz. E Lt. 32,-12.046616,-76.918644,PENDIENTE
VITARTE,Mz. F Lt. 02,-12.04676,-76.918539,PENDIENTE
VITARTE,Calle Ankara 129,-12.04311,-76.927329,PENDIENTE
VITARTE,Mz. B Lt. 2,-12.031958,-76.926253,PENDIENTE
VITARTE,Mz. B Lt. 7,-12.035985,-76.919603,PENDIENTE
VITARTE,Mz. A Lt. 03,-12.018695,-76.902103,PENDIENTE
VITARTE,Mz. E Lt. 9,-12.028347,-76.913691,PENDIENTE
VITARTE,Mz. D Lt. 1A,-12.021763,-76.913549,PENDIENTE
